GEOID,NAME,POPCOUNT
05000US13243,"Randolph County, Georgia",7087
05000US13249,"Schley County, Georgia",5211
05000US13251,"Screven County, Georgia",13990
05000US13253,"Seminole County, Georgia",8437
05000US13257,"Stephens County, Georgia",25676
05000US13259,"Stewart County, Georgia",6042
05000US13261,"Sumter County, Georgia",30352
05000US13263,"Talbot County, Georgia",6378
05000US13265,"Taliaferro County, Georgia",1665
05000US13267,"Tattnall County, Georgia",25353
05000US13269,"Taylor County, Georgia",8193
05000US13271,"Telfair County, Georgia",16115
05000US13273,"Terrell County, Georgia",8859
05000US13275,"Thomas County, Georgia",44730
05000US13277,"Tift County, Georgia",40510
05000US13279,"Toombs County, Georgia",27048
05000US13281,"Towns County, Georgia",11417
05000US13283,"Treutlen County, Georgia",6777
05000US13287,"Turner County, Georgia",7962
05000US13289,"Twiggs County, Georgia",8284
05000US13291,"Union County, Georgia",22775
05000US13293,"Upson County, Georgia",26216
05000US13299,"Ware County, Georgia",35599
05000US13301,"Warren County, Georgia",5346
05000US13303,"Washington County, Georgia",20461
05000US13305,"Wayne County, Georgia",29767
05000US13307,"Webster County, Georgia",2613
05000US13309,"Wheeler County, Georgia",7939
05000US13311,"White County, Georgia",28928
05000US13315,"Wilcox County, Georgia",8846
05000US13317,"Wilkes County, Georgia",9884
05000US13319,"Wilkinson County, Georgia",9078
05000US13321,"Worth County, Georgia",20656
05000US15005,"Kalawao County, Hawaii",75
05000US16003,"Adams County, Idaho",4019
05000US16007,"Bear Lake County, Idaho",5962
05000US16009,"Benewah County, Idaho",9086
05000US16011,"Bingham County, Idaho",45551
05000US16013,"Blaine County, Idaho",21994
05000US16015,"Boise County, Idaho",7163
05000US16017,"Bonner County, Idaho",42711
05000US16021,"Boundary County, Idaho",11549
05000US16023,"Butte County, Idaho",2602
05000US16025,"Camas County, Idaho",886
05000US16029,"Caribou County, Idaho",6918
05000US16031,"Cassia County, Idaho",23615
05000US16033,"Clark County, Idaho",1077
05000US16035,"Clearwater County, Idaho",8640
05000US16037,"Custer County, Idaho",4141
05000US16039,"Elmore County, Idaho",26433
05000US16041,"Franklin County, Idaho",13279
05000US16043,"Fremont County, Idaho",12965
05000US16045,"Gem County, Idaho",17052
05000US16047,"Gooding County, Idaho",15169
05000US16049,"Idaho County, Idaho",16337
05000US16051,"Jefferson County, Idaho",27969
05000US16053,"Jerome County, Idaho",23431
05000US16057,"Latah County, Idaho",39239
05000US16059,"Lemhi County, Idaho",7798
05000US16061,"Lewis County, Idaho",3845
05000US16063,"Lincoln County, Idaho",5321
05000US16065,"Madison County, Idaho",38705
05000US16067,"Minidoka County, Idaho",20615
05000US16069,"Nez Perce County, Idaho",40155
